Human,17,64,31,443
Soxz,31,61,147,298
nn-199a-5p,17,99,592,270
Vanog,19,62,161,256
mR-9917,14,65,592,228
TIFl2Ga,14,64,592,208
Oct4,31,57,147,198
9-7,14,37,593,187
Super enhancer,18,120,654,151
Znmt3,52,97,418,35
eCornbmalon,14,107,550,22
eomere,13,67,553,6
