viruses,14,57,57,233
molecules,16,82,447,219
Nonimegrating,20,128,57,208
Igntiviruscs,14,100,70,146
Chemicals,15,87,436,131
Retroviruses,15,103,69,91
IonnaI,16,71,446,34
