,0,0
,0,0
target pathways,56,117
Wnt,21,45
,0,0
Raldh 1 Cyp26a 1,57,103
Fgf8,26,53
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
Dsh1,23,61
Retinoic Acid RA,65,126
,0,0
Fibroblast Growth Factor F90,101,200
,0,0
Tcf3 beta-arrestin 1,58,181
VInt,30,71
Vingless,30,124
Morphogen target pathways,89,135
Bone morphogenetic protein BMP,150,186
